,TOV_team,F_tech,team_score,opponent_team_score,largest_lead,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away_NS,travel_dist,shooting_efficiency,rebound_score,assist_turnover_ratio,defensive_impact
central_michigan_chippewas,0.9285714285714286,0.0,59.67857142857143,72.10714285714286,4.25,,,,0.0,,0.0,216.03571428571428,0.39083394164441315,35.964285714285715,0.6645834826078634,-9.25
marist_red_foxes,0.8620689655172413,0.06896551724137931,52.689655172413794,60.275862068965516,7.206896551724138,,,,0.0,,0.0,319.51724137931035,0.37456735053667417,33.44827586206897,0.6940637643971153,-1.2413793103448276
fairleigh_dickinson_knights,0.5,0.16666666666666666,61.56666666666667,56.6,13.466666666666667,,,,,,0.06666666666666667,72.06666666666666,0.43574182939040157,37.4,0.9140757448717808,-6.833333333333333
manhattan_jaspers,0.5625,0.0625,66.1875,61.28125,12.65625,,,,0.0,,-0.03125,176.0,0.43315538715573026,43.625,0.6872831695445148,-4.40625
fairfield_stags,0.3870967741935484,0.03225806451612903,65.06451612903226,56.54838709677419,15.451612903225806,,,,0.0,,-0.06451612903225806,239.06451612903226,0.4544595464587371,33.54838709677419,1.3646167641074258,-2.161290322580645
yale_bulldogs,1.2962962962962963,0.0,58.51851851851852,56.81481481481482,10.518518518518519,,,,0.0,,-0.2222222222222222,101.48148148148148,0.40482676316130056,38.851851851851855,0.7489450219227669,-5.851851851851852
unc_greensboro_spartans,0.8076923076923077,0.0,54.76923076923077,55.42307692307692,10.26923076923077,,,,,,-0.038461538461538464,,0.3930137545956234,37.76923076923077,0.5612296575289188,-4.961538461538462
gardner_webb_runnin_bulldogs,0.5483870967741935,0.22580645161290322,70.3225806451613,69.54838709677419,12.03225806451613,,,,0.0,,-0.0967741935483871,130.67741935483872,0.43377810945594375,36.03225806451613,0.7908856380293511,-6.129032258064516
coastal_carolina_chanticleers,0.7083333333333334,0.125,71.875,60.875,19.541666666666668,,,,,,0.20833333333333334,,0.45158176627866126,46.125,0.7245878106594917,-7.75
east_tennessee_state_bucs,0.48148148148148145,0.0,55.407407407407405,68.11111111111111,5.814814814814815,,,,0.0,,-0.1111111111111111,170.59259259259258,0.37517783825724776,33.851851851851855,0.7148015263985338,-6.2592592592592595
mcneese_cowgirls,0.42857142857142855,0.17857142857142858,70.39285714285714,71.60714285714286,13.035714285714286,,,,,,-0.21428571428571427,,0.426611317935667,40.535714285714285,0.7650800703416538,-8.464285714285714
louisiana_ragin_cajuns,0.72,0.08,66.88,57.88,15.76,,,,,,0.08,,0.47415364985874026,35.84,0.7125304058400035,-6.28
little_rock_trojans,0.5555555555555556,0.1111111111111111,60.888888888888886,57.51851851851852,12.11111111111111,,,,,,-0.037037037037037035,,0.4241208096917621,36.55555555555556,0.8191446993701672,-6.666666666666667
oral_roberts_golden_eagles,0.3548387096774194,0.0,65.83870967741936,65.0,11.580645161290322,,,,,,-0.03225806451612903,,0.4378422987921964,37.225806451612904,0.8136350702240047,-2.7096774193548385
arkansas_state_red_wolves,0.35714285714285715,0.10714285714285714,77.57142857142857,73.03571428571429,14.75,,,,,,-0.10714285714285714,,0.455469538763718,39.5,0.994766675226096,-8.285714285714286
abilene_christian_wildcats,0.6,0.26666666666666666,73.86666666666666,66.6,16.9,,,,,,0.03333333333333333,,0.4659179744081265,34.03333333333333,1.2770497606968196,-6.366666666666666
longwood_lancers,0.625,0.03125,71.53125,67.21875,15.5625,,,,0.0,,-0.09375,336.0625,0.4488632246696078,36.5625,0.8508154594499703,-2.78125
lamar_cardinals,0.7142857142857143,0.10714285714285714,62.392857142857146,60.964285714285715,10.857142857142858,,,,,,0.03571428571428571,,0.44823984405379447,35.107142857142854,0.8821425885100699,-6.714285714285714
central_connecticut_blue_devils,0.6153846153846154,0.19230769230769232,58.30769230769231,67.6923076923077,6.153846153846154,,,,,,-0.15384615384615385,111.6923076923077,0.3906869710978805,34.19230769230769,0.6531316200073641,-6.769230769230769
