Team	Region	Avg RaptorScore	Rank
kansas_city_roos	South	6.491215594508681	26
kentucky_wildcats	South	6.079616414598494	27
marquette_golden_eagles	South	5.316146687809022	28
drake_bulldogs	South	4.914813624791219	29
ball_state_cardinals	South	3.2793474370778553	30
loyola_chicago_ramblers	South	2.932136367603784	31
northwestern_wildcats	South	2.8812557942889243	32
michigan_state_spartans	South	2.1212784411143293	33
missouri_tigers	South	1.9218194094260013	34
ohio_bobcats	South	1.7659531486382825	35
marshall_thundering_herd	South	1.519140162780835	36
illinois_state_redbirds	South	1.2264380161092847	37
purdue_boilermakers	South	0.7664575037642999	38
western_michigan_broncos	South	-0.10779307811799299	39
eastern_illinois_panthers	South	-0.23769373743044825	40
app_state_mountaineers	South	-0.8961168709878868	41
akron_zips	South	-1.6322505454712763	42
western_kentucky_lady_toppers	South	-2.0795100557146595	43
byu_cougars	West	22.183653655083965	1
stanford_cardinal	West	18.966982742592453	2
south_dakota_coyotes	West	18.49825289990151	3
baylor_bears	West	17.387220053494588	4
texas_longhorns	West	16.499830270678718	5
south_dakota_state_jackrabbits	West	15.304086666307935	6
texas_am_international_dustdevils	West	14.79611203660624	7
gonzaga_bulldogs	West	13.779613960341038	8
nebraska_cornhuskers	West	13.552050385263849	9
arizona_wildcats	West	11.80695971752807	10
creighton_bluejays	West	11.440023568292759	11
unlv_lady_rebels	West	11.28037584695194	12
portland_pilots	West	9.969988036919093	13
colorado_buffaloes	West	9.264329916426908	14
oregon_ducks	West	8.601946525177524	15
new_mexico_lobos	West	7.63669076637815	16
utah_utes	West	7.3605103629139315	17
montana_lady_griz	West	7.1535973812215685	18
colorado_state_rams	West	7.045680655503023	19
uc_irvine_anteaters	West	6.539983085277726	20
long_beach_state_beach	West	6.0210561523283905	21
california_baptist_lancers	West	5.965949782998548	22
abilene_christian_wildcats	West	5.85980385825249	23
oklahoma_sooners	West	5.8154226535472135	24
texas_am_corpus_christi_islanders	West	5.415678672829004	25
kansas_state_wildcats	West	4.960316411206437	26
nevada_wolf_pack	West	4.910438902568006	27
north_texas_mean_green	West	4.852503306381844	28
air_force_falcons	West	4.262139342172854	29
grand_canyon_lopes	West	4.177572916941698	30
wyoming_cowgirls	West	3.2570194747170427	31
ut_arlington_mavericks	West	3.190149549171155	32
southern_utah_thunderbirds	West	2.9652108569802915	33
ucla_bruins	West	2.7780838407253423	34
uc_davis_aggies	West	2.7194157370630827	35
utah_valley_wolverines	West	2.3153165804068805	36
uc_riverside_highlanders	West	2.132531341045075	37
